BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-TAYLOR GOURMET,1/3/2017,1/28/2017,FOOD & BEVERAGE,682.23,2017,CITI PCARD-TAYLOR GOURMET
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/28/2017,AP,E0490942,VREEBURG JACOBUS A.,2/16/2017,2/16/2017,FOOD & BEVERAGE,194.94,2017,VREEBURG JACOBUS A.
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BUCA DI BEPPO,1/29/2017,2/28/2017,FOOD & BEVERAGE,364.65,2017,CITI PCARD-BUCA DI BEPPO
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAFE RIO FALLS CHURCH,1/29/2017,2/28/2017,FOOD & BEVERAGE,302.17,2017,CITI PCARD-CAFE RIO FALLS CHURCH
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY,1/29/2017,2/28/2017,FOOD & BEVERAGE,1032.5,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FAMOUS DAVE'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,543.56,2017,CITI PCARD-FAMOUS DAVE'S
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-SQ  SQ  BULLFROG BAGEL,1/29/2017,2/28/2017,FOOD & BEVERAGE,135,2017,CITI PCARD-SQ  SQ  BULLFROG BAGEL
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-WHOLEFOODS.COM,1/29/2017,2/28/2017,FOOD & BEVERAGE,775.88,2017,CITI PCARD-WHOLEFOODS.COM
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/28/2017,AP,E0499777,DESIGN CUISINE,2/28/2017,2/28/2017,FOOD & BEVERAGE,3720,2017,DESIGN CUISINE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/30/2017,AP,E0501241,DESIGN CUISINE,1/3/2017,1/3/2017,FOOD & BEVERAGE,7460.41,2017,DESIGN CUISINE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473700,FIRST CHOICE COFFEE SERVICES,12/22/2016,12/22/2016,FOOD & BEVERAGE,367.29,2016,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473702,COCA-COLA BOTTLING COMPANY CONSOLIDATED,12/23/2016,12/23/2016,FOOD & BEVERAGE,120,2016,COCA-COLA BOTTLING COMPANY CONSOLIDATED
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CHICK-FIL-A,11/29/2016,12/28/2016,FOOD & BEVERAGE,2121.55,2016,CITI PCARD-CHICK-FIL-A
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-DT,11/29/2016,12/28/2016,FOOD & BEVERAGE,264.6,2016,CITI PCARD-DT
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRISTEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,116.92,2016,CITI PCARD-HARRISTEETER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-NANDOS OF THE YARDS,11/29/2016,12/28/2016,FOOD & BEVERAGE,203.17,2016,CITI PCARD-NANDOS OF THE YARDS
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-TAYLOR GOURMET,11/29/2016,12/28/2016,FOOD & BEVERAGE,757.45,2016,CITI PCARD-TAYLOR GOURMET
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/16/2017,AP,E0495670,DESIGN CUISINE,12/6/2016,12/6/2016,FOOD & BEVERAGE,5817.31,2016,DESIGN CUISINE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/17/2017,AP,E0495669,DESIGN CUISINE,11/30/2016,11/30/2016,FOOD & BEVERAGE,13624,2016,DESIGN CUISINE
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482295,MIN JAMES B.,1/16/2017,1/16/2017,FOOD & BEVERAGE,508.37,2017,MIN JAMES B.
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CORNER BAKERY,1/3/2017,1/28/2017,FOOD & BEVERAGE,319,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRISTEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,124.72,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/14/2017,AP,E0495530,MIN JAMES B.,3/3/2017,3/3/2017,FOOD & BEVERAGE,429.04,2017,MIN JAMES B.
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/16/2017,AP,E0495545,MIN JAMES B.,2/10/2017,2/10/2017,FOOD & BEVERAGE,379.2,2017,MIN JAMES B.
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CHICK-FIL-A,1/29/2017,2/28/2017,FOOD & BEVERAGE,329.56,2017,CITI PCARD-CHICK-FIL-A
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY,1/29/2017,2/28/2017,FOOD & BEVERAGE,220,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FIRST CHOICE COFFEE SE,1/29/2017,2/28/2017,FOOD & BEVERAGE,466.55,2017,CITI PCARD-FIRST CHOICE COFFEE SE
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRIS TEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,152.95,2017,CITI PCARD-HARRIS TEETER
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CORNER BAKERY,11/29/2016,12/28/2016,FOOD & BEVERAGE,460.9,2016,CITI PCARD-CORNER BAKERY
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-FIRST CHOICE COFFEE SE,11/29/2016,12/28/2016,FOOD & BEVERAGE,601.2,2016,CITI PCARD-FIRST CHOICE COFFEE SE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484040,CAPITOL  HOST,1/12/2017,1/12/2017,FOOD & BEVERAGE,119.24,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRIS TEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,174.84,2017,CITI PCARD-HARRIS TEETER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRISTEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,326.61,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-SAFEWAY  STORE,1/3/2017,1/28/2017,FOOD & BEVERAGE,111.68,2017,CITI PCARD-SAFEWAY  STORE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492347,CRYSTAL SPRINGS,1/24/2017,2/7/2017,FOOD & BEVERAGE,346.22,2017,CRYSTAL SPRINGS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492351,CAPITOL  HOST,2/1/2017,2/1/2017,FOOD & BEVERAGE,384.38,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492357,BEHRINGER CAROLINE,2/8/2017,2/8/2017,FOOD & BEVERAGE,122,2017,BEHRINGER CAROLINE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/7/2017,AP,E0492360,OCCASIONS CATERERS INC,1/3/2017,1/3/2017,FOOD & BEVERAGE,16900,2017,OCCASIONS CATERERS INC
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/15/2017,AP,E0496011,CAPITOL  HOST,3/2/2017,3/2/2017,FOOD & BEVERAGE,106.71,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/15/2017,AP,E0496012,CAPITOL  HOST,3/1/2017,3/1/2017,FOOD & BEVERAGE,529.28,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FIREHOOK,1/29/2017,2/28/2017,FOOD & BEVERAGE,107.74,2017,CITI PCARD-FIREHOOK
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-PRET A MANGER,1/29/2017,2/28/2017,FOOD & BEVERAGE,501.16,2017,CITI PCARD-PRET A MANGER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-TARGET,1/29/2017,2/28/2017,FOOD & BEVERAGE,472.27,2017,CITI PCARD-TARGET
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-WHOLEFDS,1/29/2017,2/28/2017,FOOD & BEVERAGE,201.91,2017,CITI PCARD-WHOLEFDS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500672,CAPITOL  HOST,2/16/2017,2/16/2017,FOOD & BEVERAGE,220,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500676,CAPITOL  HOST,3/9/2017,3/9/2017,FOOD & BEVERAGE,149.84,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500685,CRYSTAL SPRINGS,3/7/2017,3/7/2017,FOOD & BEVERAGE,114.04,2017,CRYSTAL SPRINGS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/17/2017,AP,E0477476,OCCASIONS CATERERS INC,12/28/2016,12/28/2016,FOOD & BEVERAGE,7075,2016,OCCASIONS CATERERS INC
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/17/2017,AP,E0477479,OCCASIONS CATERERS INC,12/6/2016,12/6/2016,FOOD & BEVERAGE,8505,2016,OCCASIONS CATERERS INC
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-COSTCO.COM   ONLINE,11/29/2016,12/28/2016,FOOD & BEVERAGE,483.31,2016,CITI PCARD-COSTCO.COM   ONLINE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-GIANT,11/29/2016,12/28/2016,FOOD & BEVERAGE,123.8,2016,CITI PCARD-GIANT
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-ROTI MEDITERRANEAN GRI,11/29/2016,12/28/2016,FOOD & BEVERAGE,550.35,2016,CITI PCARD-ROTI MEDITERRANEAN GRI
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SAFEWAY  STORE,11/29/2016,12/28/2016,FOOD & BEVERAGE,389.46,2016,CITI PCARD-SAFEWAY  STORE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484045,CRYSTAL SPRINGS,12/27/2016,12/27/2016,FOOD & BEVERAGE,265.26,2016,CRYSTAL SPRINGS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-TARGET,12/29/2016,1/2/2017,FOOD & BEVERAGE,403.1,2017,CITI PCARD-TARGET
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0483973,RODRIGUEZ-CIAMPOLI FABIOLA,1/27/2017,1/27/2017,FOOD & BEVERAGE,1081.81,2017,RODRIGUEZ-CIAMPOLI FABIOLA
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-BETHESDA BAGELS,1/3/2017,1/28/2017,FOOD & BEVERAGE,2292.67,2017,CITI PCARD-BETHESDA BAGELS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CVC CATERING,1/3/2017,1/28/2017,FOOD & BEVERAGE,5672.5,2017,CITI PCARD-CVC CATERING
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRIS TEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,1031.12,2017,CITI PCARD-HARRIS TEETER
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-IN  CONGRESS CATERING,1/3/2017,1/28/2017,FOOD & BEVERAGE,4460,2017,CITI PCARD-IN  CONGRESS CATERING
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BETHESDA BAGELS,1/29/2017,2/28/2017,FOOD & BEVERAGE,2217.67,2017,CITI PCARD-BETHESDA BAGELS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CARMINE'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,326.18,2017,CITI PCARD-CARMINE'S
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DOMINO'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,109.01,2017,CITI PCARD-DOMINO'S
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DT,1/29/2017,2/28/2017,FOOD & BEVERAGE,790.51,2017,CITI PCARD-DT
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRIS TEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,904.85,2017,CITI PCARD-HARRIS TEETER
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-LEVELUP SWEETGREEN,1/29/2017,2/28/2017,FOOD & BEVERAGE,283.09,2017,CITI PCARD-LEVELUP SWEETGREEN
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-MAIN EVENT CATERERS,1/29/2017,2/28/2017,FOOD & BEVERAGE,1459,2017,CITI PCARD-MAIN EVENT CATERERS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-BETHESDA BAGELS,11/29/2016,12/28/2016,FOOD & BEVERAGE,1912.99,2016,CITI PCARD-BETHESDA BAGELS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CAPITOL HOST,11/29/2016,12/28/2016,FOOD & BEVERAGE,673.5,2016,CITI PCARD-CAPITOL HOST
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CARMINE'S,11/29/2016,12/28/2016,FOOD & BEVERAGE,1890.49,2016,CITI PCARD-CARMINE'S
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRIS TEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,1778.9,2016,CITI PCARD-HARRIS TEETER
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SAINT GERMAIN CATERING,11/29/2016,12/28/2016,FOOD & BEVERAGE,5865.1,2016,CITI PCARD-SAINT GERMAIN CATERING
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,E0479344,ARAMARK REFRESHMENT SERVICES,1/6/2017,1/6/2017,FOOD & BEVERAGE,1551.52,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,E0479345,ARAMARK REFRESHMENT SERVICES,1/1/2017,1/31/2017,FOOD & BEVERAGE,108,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/30/2017,AP,E0483410,ARAMARK REFRESHMENT SERVICES,2/1/2017,2/28/2017,FOOD & BEVERAGE,108,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/30/2017,AP,E0483411,ARAMARK REFRESHMENT SERVICES,3/1/2017,12/31/2017,FOOD & BEVERAGE,1080,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/13/2017,AP,E0487848,ARAMARK REFRESHMENT SERVICES,2/3/2017,2/3/2017,FOOD & BEVERAGE,2767.95,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487849,CROCKER NICHOLAS L.,2/8/2017,2/8/2017,FOOD & BEVERAGE,410.97,2017,CROCKER NICHOLAS L.
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487851,CAPITOL  HOST,2/9/2017,2/9/2017,FOOD & BEVERAGE,1392.15,2017,CAPITOL  HOST
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CHICK-FIL-A,1/3/2017,1/28/2017,FOOD & BEVERAGE,3318.18,2017,CITI PCARD-CHICK-FIL-A
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CORNER BAKERY,1/3/2017,1/28/2017,FOOD & BEVERAGE,1458.45,2017,CITI PCARD-CORNER BAKERY
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-POTBELLY,1/3/2017,1/28/2017,FOOD & BEVERAGE,167.2,2017,CITI PCARD-POTBELLY
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-SQU SQ  ZORBA'S CAFE,1/3/2017,1/28/2017,FOOD & BEVERAGE,435.5,2017,CITI PCARD-SQU SQ  ZORBA'S CAFE
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CHICK-FIL-A,1/29/2017,2/28/2017,FOOD & BEVERAGE,2677.75,2017,CITI PCARD-CHICK-FIL-A
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY,1/29/2017,2/28/2017,FOOD & BEVERAGE,1503.6,2017,CITI PCARD-CORNER BAKERY
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-COSI,1/29/2017,2/28/2017,FOOD & BEVERAGE,200,2017,CITI PCARD-COSI
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRISTEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,133.19,2017,CITI PCARD-HARRISTEETER
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-MANGIALARDO & SONS,1/29/2017,2/28/2017,FOOD & BEVERAGE,186.85,2017,CITI PCARD-MANGIALARDO & SONS
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-QDOBA MEXICAN GRIL,1/29/2017,2/28/2017,FOOD & BEVERAGE,994.34,2017,CITI PCARD-QDOBA MEXICAN GRIL
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-SQU SQ  ZORBA'S CAFE,1/29/2017,2/28/2017,FOOD & BEVERAGE,304,2017,CITI PCARD-SQU SQ  ZORBA'S CAFE
